,route,UTM lat,UTM lon
259,r1,2272302.701184276,310872.64406789053
260,r1,2272300.992707086,310875.33678806806
261,r1,2272300.657714344,310878.8791420903
262,r1,2272301.0734821814,310883.0138981892
263,r1,2272302.3247181415,310886.59473709576
264,r1,2272302.526419005,310891.75964768766
265,r1,2272302.384691047,310897.8385499873
266,r1,2272303.3938363343,310903.37746853754
267,r1,2272304.2054704856,310910.0510218076
268,r1,2272306.2570212353,310916.34202356567
269,r1,2272307.9180293507,310923.004151503
270,r1,2272308.471255837,310929.71654912597
271,r1,2272307.539349711,310935.46335179603
272,r1,2272308.2903235117,310941.02025658614
273,r1,2272308.8681664104,310945.4175488684
274,r1,2272308.5036046053,310948.3337950123
275,r1,2272308.851131379,310950.34014383703
276,r1,2272308.932301893,310953.0006004236
277,r1,2272308.7720761825,310955.7626718709
278,r1,2272307.9600473135,310959.09113294416
279,r1,2272307.266776346,310963.39086870675
280,r1,2272307.2942078784,310967.5004465893
281,r1,2272307.2251837226,310972.1200047748
282,r1,2272307.9851387097,310976.76962910005
283,r1,2272308.992803527,310982.4441072667
284,r1,2272310.422284708,310988.3214320197
285,r1,2272312.5553936884,310995.6458575451
286,r1,2272313.785982894,311002.782954996
287,r1,2272315.301513989,311010.88274026697
288,r1,2272317.1947414437,311018.1732074451
289,r1,2272318.358355378,311026.4568145877
290,r1,2272319.989006151,311034.16154727887
291,r1,2272320.97011025,311042.13023643673
292,r1,2272322.9360204497,311049.5570883254
293,r1,2272323.907290715,311056.81645174767
294,r1,2272324.1216122163,311064.14041814674
295,r1,2272324.725898003,311069.5496647347
296,r1,2272325.1124052443,311072.93314897735
297,r1,2272325.2398020476,311074.82232253737
298,r1,2272325.820339144,311077.384021173
299,r1,2272326.2085842886,311080.6110800274
300,r1,2272327.3255344382,311084.72231450427
301,r1,2272327.952119718,311089.8189180038
302,r1,2272328.989178617,311096.1403409635
303,r1,2272331.143282226,311101.5772151891
304,r1,2272334.3449545885,311107.40118042007
305,r1,2272336.8979610642,311115.1057016733
306,r1,2272340.0273421314,311124.1516053926
307,r1,2272342.3317852663,311132.6042933406
308,r1,2272344.870750022,311141.6749270968
309,r1,2272347.1242030063,311151.4307425843
310,r1,2272348.163104415,311160.8810500172
311,r1,2272349.3476995653,311170.57285282447
312,r1,2272349.7215487375,311180.0887853585
313,r1,2272349.160691734,311189.12501573435
314,r1,2272349.0532521256,311197.1128879341
315,r1,2272348.2028632127,311203.9035451853
316,r1,2272348.0270608086,311208.07342995674
317,r1,2272346.6198334815,311210.16459634964
318,r1,2272346.4140777844,311212.1439356697
319,r1,2272345.5879059685,311215.0550559072
320,r1,2272347.0066107363,311218.61685278045
321,r1,2272348.585067007,311222.6497523703
322,r1,2272350.324563915,311227.23720537964
323,r1,2272352.298334924,311232.2652983308
324,r1,2272354.0723851514,311235.43470923987
325,r1,2272356.1242658156,311240.1090605286
326,r1,2272356.8477581115,311244.7582479449
327,r1,2272357.7550103413,311247.8137472922
328,r1,2272358.975800214,311250.85186442034
329,r1,2272358.3266852926,311252.77413735224
330,r1,2272358.225860581,311255.27611794265
331,r1,2272359.1481493535,311256.9759379837
332,r1,2272360.3503516023,311259.9929887599
333,r1,2272361.824505194,311265.2449841183
334,r1,2272363.802883135,311271.5559569353
335,r1,2272364.2950875014,311277.1933847545
336,r1,2272365.107145437,311283.741731614
337,r1,2272366.735065205,311290.90403922624
338,r1,2272366.6724627535,311297.34881970193
339,r1,2272367.2050479418,311304.2382410518
340,r1,2272367.839030579,311308.57354151364
341,r1,2272368.152169595,311311.98748232203
342,r1,2272367.7166171665,311314.6213342324
343,r1,2272367.3004637193,311317.2032534655
344,r1,2272366.6441392777,311319.87637623306
345,r1,2272366.5683460664,311323.3172937021
346,r1,2272366.079266927,311327.48369919905
347,r1,2272365.8733190303,311331.0796173061
348,r1,2272365.811444225,311335.06302661076
349,r1,2272365.1243284456,311338.7161881487
350,r1,2272364.8422163734,311340.89284070587
351,r1,2272362.8085325803,311341.26662033354
352,r1,2272360.244567392,311341.1339023325
353,r1,2272356.468008248,311340.5184115639
354,r1,2272352.81542949,311340.40491462796
355,r1,2272348.2080436004,311339.92622773605
356,r1,2272343.5295374254,311339.07128736994
357,r1,2272338.613634452,311338.0572712628
358,r1,2272333.823330269,311337.3992530111
359,r1,2272328.4896817785,311337.4131347829
360,r1,2272323.695447179,311337.10967887903
361,r1,2272318.699473764,311336.6266834502
362,r1,2272314.347842887,311336.3489930338
363,r1,2272310.425544097,311335.59630016144
364,r1,2272306.2770882132,311335.2687138016
365,r1,2272303.975444784,311336.4426040385
366,r1,2272302.537618602,311336.3015100778
367,r1,2272302.3153919526,311336.37205388973
368,r1,2272302.1622761837,311335.2022405254
369,r1,2272301.1662444826,311335.15991036803
370,r1,2272299.3334237016,311335.6923622552
371,r1,2272296.3067139196,311335.7526768502
372,r1,2272293.5360127413,311334.2931059689
373,r1,2272289.4741941574,311334.5401086271
374,r1,2272285.406528887,311335.21466101916
375,r1,2272278.9807990855,311335.560615259
376,r1,2272273.0531429914,311335.92252084054
377,r1,2272266.3352890215,311335.9523489702
378,r1,2272259.7125112037,311335.7954979148
379,r1,2272254.2501210505,311337.4349778282
380,r1,2272247.6891492866,311338.3947843838
381,r1,2272240.954787026,311338.2158386607
382,r1,2272234.332240605,311338.03813252505
383,r1,2272226.581937067,311338.01480003935
384,r1,2272219.2300740764,311338.7051012412
385,r1,2272212.2635442694,311339.4935415813
386,r1,2272205.238511689,311338.9671963953
387,r1,2272198.3886527847,311339.31888513896
388,r1,2272191.952772941,311338.88250790955
389,r1,2272185.345348318,311339.03872079414
390,r1,2272178.864033994,311339.4049255771
391,r1,2272172.2021131217,311339.38323056756
392,r1,2272165.591385331,311339.7375721174
393,r1,2272159.0385061535,311339.9673990763
394,r1,2272152.4281252786,311340.29045639106
395,r1,2272145.7481444473,311340.2998516737
396,r1,2272138.773264968,311340.24340028677
397,r1,2272132.3724166015,311339.94299870834
398,r1,2272126.196520149,311339.42606653343
399,r1,2272121.9162237905,311339.30561514397
400,r1,2272119.518042142,311339.2998928481
401,r1,2272116.5016486943,311340.02782844123
402,r1,2272113.1461656014,311339.7820416549
403,r1,2272108.7550450084,311339.67079194175
404,r1,2272103.9409504156,311339.4609864796
405,r1,2272099.6279347125,311338.99599171843
406,r1,2272094.814649273,311338.7131870447
407,r1,2272090.166039828,311338.5573644615
408,r1,2272085.124170523,311338.91867003846
409,r1,2272080.2947231946,311338.39580229274
410,r1,2272074.877741481,311337.63696775504
411,r1,2272069.8399178367,311337.63327745727
412,r1,2272066.0036791326,311337.50731881056
413,r1,2272064.0770550515,311338.11174942413
414,r1,2272061.579983253,311338.63684916135
415,r1,2272058.908872951,311339.87967324746
416,r1,2272055.5727884024,311339.5819529711
417,r1,2272052.4283688357,311340.1728866113
418,r1,2272048.58140078,311339.3167265209
419,r1,2272044.8713881075,311339.39033316734
420,r1,2272042.348532103,311338.9451799253
421,r1,2272039.552189583,311338.10066415666
422,r1,2272037.3020597915,311338.0235754259
423,r1,2272034.6444732356,311338.0462682693
424,r1,2272031.8035057974,311337.931341573
425,r1,2272028.201658959,311338.2356022877
426,r1,2272023.031965999,311336.8432914758
427,r1,2272017.5680679563,311335.322561676
428,r1,2272010.7373980116,311333.9431287446
429,r1,2272004.0846095625,311333.0975858851
430,r1,2271996.5677462206,311331.9921502538
431,r1,2271988.531995678,311329.4520801232
432,r1,2271981.1149964225,311327.628092945
433,r1,2271973.673810807,311326.3879057104
434,r1,2271966.4843345867,311325.7137176193
435,r1,2271959.7835690696,311325.9001912232
436,r1,2271953.4410811574,311325.3292594291
437,r1,2271948.354492166,311324.7305286018
438,r1,2271943.8415386127,311324.0234276798
439,r1,2271940.4550984274,311324.8724276477
440,r1,2271937.292387487,311325.5153111921
441,r1,2271933.7646205844,311324.13076109183
442,r1,2271931.683811315,311322.0634497395
443,r1,2271930.466723962,311316.9914890039
444,r1,2271930.242779568,311312.22257152153
445,r1,2271929.1855117613,311304.4197635401
446,r1,2271929.6740563805,311296.90526628634
447,r1,2271929.5488017905,311289.9263161145
448,r1,2271927.8094212497,311280.33244057285
449,r1,2271925.0423367145,311270.257825377
450,r1,2271923.0668695187,311258.69008602493
451,r1,2271920.4738392676,311247.89773386996
452,r1,2271918.6115240515,311236.11221527494
453,r1,2271916.38078802,311224.3017478894
454,r1,2271913.48988739,311210.4188441932
455,r1,2271910.326736886,311196.12615068024
456,r1,2271905.9981139298,311183.7917664346
457,r1,2271901.956314126,311173.848995302
